POS,Rank,Simplified,Traditional,Pinyin,English,HSK
noun,1,人,人,rén,person / people,1
noun,2,我,我,wǒ,I / me,1
noun,3,你,你,nǐ,you,1
noun,4,他,他,tā,he / him,1
noun,5,她,她,tā,she / her,1
noun,6,爸爸,爸爸,bàba,father / dad,1
noun,7,妈妈,媽媽,māma,mother / mom,1
noun,8,儿子,兒子,érzi,son,1
noun,9,女儿,女兒,nǚ'ér,daughter,1
noun,10,老师,老師,lǎoshī,teacher,1
noun,11,学生,學生,xuéshēng,student,1
noun,12,同学,同學,tóngxué,classmate,1
noun,13,朋友,朋友,péngyǒu,friend,1
noun,14,先生,先生,xiānsheng,Mr. / sir,1
noun,15,小姐,小姐,xiǎojiě,Miss / young lady,1
noun,16,医生,醫生,yīshēng,doctor,1
noun,17,家,家,jiā,home / family,1
noun,18,学校,學校,xuéxiào,school,1
noun,19,中国,中國,Zhōngguó,China,1
noun,20,北京,北京,Běijīng,Beijing,1
noun,21,电视,電視,diànshì,television,1
noun,22,电脑,電腦,diànnǎo,computer,1
noun,23,电话,電話,diànhuà,telephone,1
noun,24,手机,手機,shǒujī,cell phone,1
noun,25,书,書,shū,book,1
noun,26,桌子,桌子,zhuōzi,table / desk,1
noun,27,椅子,椅子,yǐzi,chair,1
noun,28,水,水,shuǐ,water,1
noun,29,茶,茶,chá,tea,1
noun,30,米饭,米飯,mǐfàn,cooked rice,1
noun,31,菜,菜,cài,dish / vegetable,1
noun,32,苹果,蘋果,píngguǒ,apple,1
noun,33,水果,水果,shuǐguǒ,fruit,1
noun,34,狗,狗,gǒu,dog,1
noun,35,猫,貓,māo,cat,1
noun,36,车,車,chē,car / vehicle,1
noun,37,出租车,出租車,chūzūchē,taxi,1
noun,38,飞机,飛機,fēijī,airplane,1
noun,39,字,字,zì,character / word,1
noun,40,汉语,漢語,Hànyǔ,Chinese language,1
noun,41,名字,名字,míngzì,name,1
noun,42,年,年,nián,year,1
noun,43,月,月,yuè,month / moon,1
noun,44,日,日,rì,day / sun,1
noun,45,星期,星期,xīngqī,week,1
noun,46,今天,今天,jīntiān,today,1
noun,47,明天,明天,míngtiān,tomorrow,1
noun,48,昨天,昨天,zuótiān,yesterday,1
noun,49,现在,現在,xiànzài,now,1
noun,50,上午,上午,shàngwǔ,morning (AM),1
