POS,Rank,Hebrew,Transliteration,English,Gender,Root,Binyan
noun,1,אדם,adam,man / person,m,א-ד-ם,
noun,2,איש,ish,man / person,m,א-י-ש,
noun,3,אישה,isha,woman / wife,f,א-נ-ש,
noun,4,ילד,yeled,child / boy,m,י-ל-ד,
noun,5,ילדה,yalda,girl,f,י-ל-ד,
noun,6,אבא,abba,father / dad,m,א-ב-ב,
noun,7,אמא,imma,mother / mom,f,א-מ-מ,
noun,8,בן,ben,son,m,ב-נ-ה,
noun,9,בת,bat,daughter,f,ב-נ-ה,
noun,10,אח,ach,brother,m,א-ח-ח,
noun,11,אחות,achot,sister / nurse,f,א-ח-ח,
noun,12,משפחה,mishpacha,family,f,ש-פ-ח,
noun,13,חבר,chaver,friend / member,m,ח-ב-ר,
noun,14,חברה,chavera,friend (f) / company,f,ח-ב-ר,
noun,15,בית,bayit,house / home,m,ב-י-ת,
noun,16,עיר,ir,city,f,ע-ו-ר,
noun,17,ארץ,eretz,land / country,f,א-ר-צ,
noun,18,עולם,olam,world,m,ע-ל-ם,
noun,19,מקום,makom,place,m,ק-ו-ם,
noun,20,דרך,derech,way / road,f,ד-ר-ך,
noun,21,יום,yom,day,m,י-ו-ם,
noun,22,לילה,layla,night,m,l-y-l,
noun,23,בוקר,boker,morning,m,ב-ק-ר,
noun,24,ערב,erev,evening,m,ע-ר-ב,
noun,25,שנה,shana,year,f,ש-נ-ה,
noun,26,חודש,chodesh,month,m,ח-ד-ש,
noun,27,שבוע,shavua,week,m,ש-ב-ע,
noun,28,שעה,sha'a,hour,f,ש-ע-ה,
noun,29,זמן,zman,time,m,ז-מ-ן,
noun,30,מילה,mila,word,f,מ-ל-ל,
noun,31,ספר,sefer,book,m,ס-פ-ר,
noun,32,עבודה,avoda,work / job,f,ע-ב-ד,
noun,33,ספורט,sport,sport,m,s-p-r-t,
noun,34,מים,mayim,water,m,m-y-m,
noun,35,אוכל,ochel,food,m,א-כ-ל,
noun,36,לחם,lechem,bread,m,ל-ח-ם,
noun,37,קפה,kafe,coffee,m,k-f-h,
noun,38,תה,te,tea,m,t-h-h,
noun,39,כסף,kesef,money / silver,m,כ-ס-פ,
noun,40,שולחן,shulchan,table,m,ש-ל-ח,
noun,41,כיסא,kise,chair,m,כ-ס-א,
noun,42,חדר,cheder,room,m,ח-ד-ר,
noun,43,דלת,delet,door,f,ד-ל-ת,
noun,44,חלון,chalon,window,m,ח-ל-ן,
noun,45,מכונית,mechonit,car,f,כ-ו-ן,
noun,46,אוטובוס,otobus,bus,m,o-t-b-s,
noun,47,רכבת,rakevet,train,f,ר-כ-ב,
noun,48,חנות,chanut,shop / store,f,ח-נ-ה,
noun,49,שוק,shuk,market,m,ש-ו-ק,
noun,50,רחוב,rechov,street,m,ר-ח-ב,
verb,1,היה,haya,to be / exist,,ה-י-ה,Pa'al
verb,2,אמר,amar,to say / tell,,א-מ-ר,Pa'al
verb,3,עשה,asa,to do / make,,ע-ש-ה,Pa'al
verb,4,בא,ba,to come / arrive,,ב-ו-א,Pa'al
verb,5,הלך,halach,to go / walk,,ה-ל-ך,Pa'al
